FigA,,Years until 20% infected with only hrp2 deletions,PfPR,ft,PfPR_grouped,lessthan5, 20+,FigB,,Years.until.20..infected.with.only.hrp2.deletions,hrp2d,PfPR,ft,PfPR_grouped,lessthan5, 20+
,91,NA,0.676209932,0.3,0.65 - 0.7,NA,NA,,91,NA,0.211284137,0.676209932,0.3,0.65 - 0.7,NA,NA
,92,NA,0.686528299,0.3,0.65 - 0.7,NA,NA,,92,NA,0.190620421,0.686528299,0.3,0.65 - 0.7,NA,NA
,93,NA,0.703541837,0.3,0.7 - 0.75,NA,NA,,93,NA,0.184492195,0.703541837,0.3,0.7 - 0.75,NA,NA
,94,NA,0.714518639,0.3,0.7 - 0.75,NA,NA,,94,NA,0.182031149,0.714518639,0.3,0.7 - 0.75,NA,NA
,95,NA,0.730577211,0.3,0.7 - 0.75,NA,NA,,95,NA,0.173283373,0.730577211,0.3,0.7 - 0.75,NA,NA
,96,NA,0.746492585,0.3,0.7 - 0.75,NA,NA,,96,NA,0.157511391,0.746492585,0.3,0.7 - 0.75,NA,NA
,97,NA,0.756442245,0.3,0.75 - 0.8,NA,NA,,97,NA,0.158363579,0.756442245,0.3,0.75 - 0.8,NA,NA
,98,NA,0.771479864,0.3,0.75 - 0.8,NA,NA,,98,NA,0.143735203,0.771479864,0.3,0.75 - 0.8,NA,NA
,99,NA,0.78471932,0.3,0.75 - 0.8,NA,NA,,99,NA,0.133823478,0.78471932,0.3,0.75 - 0.8,NA,NA
,100,NA,0.794892993,0.3,0.75 - 0.8,NA,NA,,100,NA,0.127612822,0.794892993,0.3,0.75 - 0.8,NA,NA
,101,NA,0.807460884,0.3,0.8 - 1.0,NA,NA,,101,NA,0.125720097,0.807460884,0.3,0.8 - 1.0,NA,NA
,102,NA,0.817240952,0.3,0.8 - 1.0,NA,NA,,102,NA,0.121795212,0.817240952,0.3,0.8 - 1.0,NA,NA
,103,NA,0.823005918,0.3,0.8 - 1.0,NA,NA,,103,NA,0.11902751,0.823005918,0.3,0.8 - 1.0,NA,NA
,104,NA,0.837288571,0.3,0.8 - 1.0,NA,NA,,104,NA,0.111938475,0.837288571,0.3,0.8 - 1.0,NA,NA
,105,NA,0.844655578,0.3,0.8 - 1.0,NA,NA,,105,NA,0.112666746,0.844655578,0.3,0.8 - 1.0,NA,NA
,106,NA,0.85440415,0.3,0.8 - 1.0,NA,NA,,106,NA,0.106828456,0.85440415,0.3,0.8 - 1.0,NA,NA
,107,NA,0.86362381,0.3,0.8 - 1.0,NA,NA,,107,NA,0.101993589,0.86362381,0.3,0.8 - 1.0,NA,NA
,108,NA,0.87048034,0.3,0.8 - 1.0,NA,NA,,108,NA,0.098867953,0.87048034,0.3,0.8 - 1.0,NA,NA
,109,NA,0.879698503,0.3,0.8 - 1.0,NA,NA,,109,NA,0.100301022,0.879698503,0.3,0.8 - 1.0,NA,NA
,110,NA,0.885409048,0.3,0.8 - 1.0,NA,NA,,110,NA,0.095524575,0.885409048,0.3,0.8 - 1.0,NA,NA
,111,2.891666667,0.105223878,0.4,0.0 - 0.15,TRUE,NA,,111,3.708333333,0.999520784,0.105223878,0.4,0.0 - 0.15,TRUE,NA
,113,3.016666667,0.117610544,0.4,0.0 - 0.15,TRUE,NA,,113,4.116666667,0.999018231,0.117610544,0.4,0.0 - 0.15,TRUE,NA
,114,2.983333333,0.127335714,0.4,0.0 - 0.15,TRUE,NA,,114,4.083333333,0.999632989,0.127335714,0.4,0.0 - 0.15,TRUE,NA
,115,3.1,0.138823605,0.4,0.0 - 0.15,TRUE,NA,,115,4.033333333,0.999065105,0.138823605,0.4,0.0 - 0.15,TRUE,NA
,116,3.1,0.15312034,0.4,0.15 - 0.2,TRUE,NA,,116,4.283333333,0.99839068,0.15312034,0.4,0.15 - 0.2,TRUE,NA
,117,3.208333333,0.161006531,0.4,0.15 - 0.2,TRUE,NA,,117,4.3,0.998843715,0.161006531,0.4,0.15 - 0.2,TRUE,NA
,118,3.508333333,0.173282245,0.4,0.15 - 0.2,TRUE,NA,,118,4.508333333,0.998294525,0.173282245,0.4,0.15 - 0.2,TRUE,NA
,119,3.741666667,0.192176531,0.4,0.15 - 0.2,TRUE,NA,,119,4.691666667,0.997852452,0.192176531,0.4,0.15 - 0.2,TRUE,NA
,120,3.741666667,0.197445238,0.4,0.15 - 0.2,TRUE,NA,,120,5.133333333,0.995991588,0.197445238,0.4,0.15 - 0.2,FALSE,NA
,121,3.816666667,0.207332245,0.4,0.2 - 0.25,TRUE,NA,,121,5,0.996190115,0.207332245,0.4,0.2 - 0.25,FALSE,NA
,122,4.041666667,0.232042109,0.4,0.2 - 0.25,TRUE,NA,,122,5.358333333,0.996249184,0.232042109,0.4,0.2 - 0.25,FALSE,NA
,123,4.391666667,0.240703401,0.4,0.2 - 0.25,TRUE,NA,,123,5.916666667,0.990992421,0.240703401,0.4,0.2 - 0.25,FALSE,NA
,124,4.508333333,0.265057347,0.4,0.25 - 0.3,TRUE,NA,,124,6.191666667,0.987102559,0.265057347,0.4,0.25 - 0.3,FALSE,NA
,125,4.508333333,0.269531224,0.4,0.25 - 0.3,TRUE,NA,,125,5.758333333,0.990581549,0.269531224,0.4,0.25 - 0.3,FALSE,NA
,126,4.716666667,0.288972517,0.4,0.25 - 0.3,TRUE,NA,,126,6.375,0.982144627,0.288972517,0.4,0.25 - 0.3,FALSE,NA
,127,4.991666667,0.309722313,0.4,0.3 - 0.35,TRUE,NA,,127,6.758333333,0.980263999,0.309722313,0.4,0.3 - 0.35,FALSE,NA
,128,5.441666667,0.324299864,0.4,0.3 - 0.35,FALSE,NA,,128,6.883333333,0.972074804,0.324299864,0.4,0.3 - 0.35,FALSE,NA
,129,5.466666667,0.345743265,0.4,0.3 - 0.35,FALSE,NA,,129,7.833333333,0.953734898,0.345743265,0.4,0.3 - 0.35,FALSE,NA
,130,5.825,0.359151973,0.4,0.35 - 0.4,FALSE,NA,,130,7.933333333,0.945757735,0.359151973,0.4,0.35 - 0.4,FALSE,NA
,131,6.558333333,0.383774694,0.4,0.35 - 0.4,FALSE,NA,,131,8.566666667,0.922085076,0.383774694,0.4,0.35 - 0.4,FALSE,NA
