"","Years until 20% infected with only hrp2 deletions","PfPR","ft","PfPR_grouped","lessthan5"," 20+"
"254",8.26666666666667,0.568795646258503,0.6,"0.55 - 0.6",FALSE,NA
"255",8.425,0.577040816326531,0.6,"0.55 - 0.6",FALSE,NA
"256",9.50833333333333,0.600159319727891,0.6,"0.6 - 0.65",FALSE,NA
"257",10.6333333333333,0.616764693877551,0.6,"0.6 - 0.65",FALSE,NA
"258",11.25,0.632707619047619,0.6,"0.6 - 0.65",FALSE,NA
"259",NA,0.673156489795918,0.6,"0.65 - 0.7",NA,NA
"260",13.2583333333333,0.66245612244898,0.6,"0.65 - 0.7",FALSE,NA
"261",14.975,0.68281149659864,0.6,"0.65 - 0.7",FALSE,NA
"262",15.9,0.692902176870748,0.6,"0.65 - 0.7",FALSE,NA
"263",17.4583333333333,0.706982653061225,0.6,"0.7 - 0.75",FALSE,NA
"264",NA,0.723975986394558,0.6,"0.7 - 0.75",NA,NA
"265",NA,0.734257551020408,0.6,"0.7 - 0.75",NA,NA
"266",NA,0.747147551020408,0.6,"0.7 - 0.75",NA,NA
"267",NA,0.761051360544218,0.6,"0.75 - 0.8",NA,NA
"268",NA,0.768987414965987,0.6,"0.75 - 0.8",NA,NA
"269",NA,0.718071782312925,0.6,"0.7 - 0.75",NA,NA
"270",NA,0.727805176870748,0.6,"0.7 - 0.75",NA,NA
"271",NA,0.8067268707483,0.6,"0.8 - 1.0",NA,NA
"272",NA,0.814804693877551,0.6,"0.8 - 1.0",NA,NA
"273",NA,0.823398571428572,0.6,"0.8 - 1.0",NA,NA
"274",NA,0.834522108843537,0.6,"0.8 - 1.0",NA,NA
"275",NA,0.840957619047619,0.6,"0.8 - 1.0",NA,NA
