Observed,Province,fT,PCR.05.U95,PCR.05.L95,propDel.U95,propDel.L95,PCR.05,propDel,FigA,PCR PfPR 6-59 months,Proportion Population only infected with pfhrp2-deleted mutants,Province,FigB,PCR PfPR 6-59 months,Proportion Population only infected with pfhrp2-deleted mutants,Province
,,,,,,,,,,58.12875356,3.441272638,Haut-Uele,,57.35587525,2.332419975,Haut-Uele
,,,,,,,,,,43.90942356,3.920075325,Ituri,,43.20752722,2.733899395,Ituri
,,,,,,,,,,35.46520719,6.144103953,Kasai,,34.56340408,3.235976207,Kasai
,,,,,,,,,,50.88682432,3.853866494,Kasai-Central,,51.57344485,2.829534262,Kasai-Central
,,,,,,,,,,36.95330657,4.815005918,Kasai-Oriental,,37.0869033,3.931336888,Kasai-Oriental
,,,,,,,,,,24.697937,6.408941715,Kinshasa,,24.366175,3.347309222,Kinshasa
,,,,,,,,,,43.53666245,4.232727772,Kongo Central,,43.05205709,3.337826996,Kongo Central
,,,,,,,,,,19.80733208,10.99811743,Kwango,,18.64987352,3.468495562,Kwango
,,,,,,,,,,19.19535419,9.204222327,Kwilu,,18.80301354,2.853822329,Kwilu
,,,,,,,,,,63.91855632,2.777913897,Lomami,,63.80771863,2.093286967,Lomami
,,,,,,,,,,45.02997133,4.374628939,Lualaba,,44.98710594,2.983405856,Lualaba
,,,,,,,,,,43.92247735,5.299403172,Mai-Ndombe,,42.88361749,3.032145913,Mai-Ndombe
,,,,,,,,,,51.7382199,4.390510354,Maniema,,51.05060825,2.543161903,Maniema
,,,,,,,,,,35.90842567,5.87220201,Mongala,,35.18841499,3.480143264,Mongala
,,,,,,,,,,11.77911497,17.98190663,North-Kivu,,10.84735105,3.82393383,North-Kivu
,,,,,,,,,,60.38263113,3.056249367,Nord-Ubangi,,59.81829774,2.543036931,Nord-Ubangi
,,,,,,,,,,27.32502903,4.88508612,Sankuru,,26.87549355,3.452995076,Sankuru
,,,,,,,,,,14.21362489,23.30620774,South-Kivu,,13.25591128,3.573642587,South-Kivu
,,,,,,,,,,30.21108179,5.551004734,Sud-Ubangi,,30.39932656,3.341289247,Sud-Ubangi
,,,,,,,,,,61.70457516,3.204117013,Tanganyka,,61.74286013,2.498072804,Tanganyka
,,,,,,,,,,46.24842371,4.834455683,Tshopo,,45.52469946,3.014340167,Tshopo
,,,,,,,,,,26.7813658,5.352506491,Tshuapa,,25.88106302,3.311204676,Tshuapa
,,,,,,,,,,67.81494512,2.538489693,Bas-Uele,,67.66145335,2.187560863,Bas-Uele
,,,,,,,,,,23.80600169,6.353861913,Equateur,,23.06682076,3.198651262,Equateur
,,,,,,,,,,31.78151526,5.161499824,Haut-Katanga,,31.32820271,3.254170633,Haut-Katanga
,,,,,,,,,,43.12883114,5.115280782,Haut-Lomami,,42.82782572,2.781735539,Haut-Lomami
,,,,,,,,,,58.60625719,2.988875909,Haut-Uele,,57.4674135,2.392958918,Haut-Uele
,,,,,,,,,,43.94585769,4.247623054,Ituri,,43.63183816,3.507205195,Ituri
,,,,,,,,,,34.89968044,5.444042447,Kasai,,34.55382362,3.374538881,Kasai
,,,,,,,,,,51.87466808,3.554809631,Kasai-Central,,50.67217106,2.366811297,Kasai-Central
,,,,,,,,,,36.67304609,5.369985319,Kasai-Oriental,,36.14790863,3.696123722,Kasai-Oriental
,,,,,,,,,,25.25479538,5.607230796,Kinshasa,,24.65703215,3.071240749,Kinshasa
,,,,,,,,,,43.16691348,4.469806319,Kongo Central,,43.0908899,2.764400906,Kongo Central
,,,,,,,,,,19.81127157,10.92364684,Kwango,,18.38204809,2.831611572,Kwango
,,,,,,,,,,19.63628719,8.59745508,Kwilu,,19.01449275,3.197183916,Kwilu
,,,,,,,,,,64.40419146,2.597355999,Lomami,,64.04059427,2.370355183,Lomami
,,,,,,,,,,45.44647983,4.097841358,Lualaba,,44.30975024,3.336449202,Lualaba
,,,,,,,,,,44.37239707,3.97033506,Mai-Ndombe,,44.07529863,3.503057982,Mai-Ndombe
,,,,,,,,,,51.7752262,4.107932285,Maniema,,50.29962153,2.743324807,Maniema
,,,,,,,,,,35.81332078,5.604177584,Mongala,,35.60558354,3.428081729,Mongala
,,,,,,,,,,11.47900564,15.42663799,North-Kivu,,10.95566192,2.813228841,North-Kivu
,,,,,,,,,,60.26748104,2.872548844,Nord-Ubangi,,59.82432792,2.397634425,Nord-Ubangi
,,,,,,,,,,26.75216382,5.928815273,Sankuru,,26.67019587,3.546846434,Sankuru
,,,,,,,,,,15.06388348,22.90436094,South-Kivu,,13.77670968,3.076743305,South-Kivu
,,,,,,,,,,30.77775433,6.211727352,Sud-Ubangi,,30.00842194,2.917979083,Sud-Ubangi
,,,,,,,,,,61.71743697,3.280900098,Tanganyka,,61.69979079,2.269855357,Tanganyka
,,,,,,,,,,46.01909988,4.687780193,Tshopo,,45.71020775,2.998716501,Tshopo
,,,,,,,,,,26.25327698,6.813699665,Tshuapa,,26.45480151,3.613998513,Tshuapa
,,,,,,,,,,68.12961012,2.4851348,Bas-Uele,,67.85094865,2.094246717,Bas-Uele
,,,,,,,,,,23.22397177,5.044061122,Equateur,,22.78125,4.250919755,Equateur
,,,,,,,,,,32.24035143,5.785310376,Haut-Katanga,,31.33983842,3.983556076,Haut-Katanga
,,,,,,,,,,43.24811711,4.716201954,Haut-Lomami,,42.171875,3.245897079,Haut-Lomami
,,,,,,,,,,58.31228414,3.387462125,Haut-Uele,,57.8408319,2.533536856,Haut-Uele
,,,,,,,,,,43.26341797,4.391521056,Ituri,,43.57735532,2.718730694,Ituri
,,,,,,,,,,34.84816863,6.979041412,Kasai,,34.22600294,3.240070015,Kasai
,,,,,,,,,,51.89900164,3.94207862,Kasai-Central,,51.9176211,3.130983228,Kasai-Central
,,,,,,,,,,37.70491803,5.249882571,Kasai-Oriental,,36.9092827,3.175815088,Kasai-Oriental
,,,,,,,,,,25.4447353,7.913034836,Kinshasa,,24.85131691,2.930670913,Kinshasa
,,,,,,,,,,44.4293265,5.214283819,Kongo Central,,43.43540821,3.247685224,Kongo Central
,,,,,,,,,,20.30938647,11.53544283,Kwango,,19.48215315,3.098049525,Kwango
,,,,,,,,,,19.18117006,8.198638882,Kwilu,,18.88987892,4.905228373,Kwilu
,,,,,,,,,,64.30268786,3.005695281,Lomami,,63.73228346,2.332772043,Lomami
,,,,,,,,,,44.98228429,4.782787928,Lualaba,,44.68264419,3.28342642,Lualaba
,,,,,,,,,,44.86653524,4.758694485,Mai-Ndombe,,43.79538659,3.112939654,Mai-Ndombe
