,hrp2.Deletion.Allele.Frequency_A,Prevalence,Years,hrp2.Deletion.Allele.Frequency_B,Starting Frequency,Years,hrp2.Deletion.Allele.Frequency_CD,Proportion.of.Monoinfections.Due.to.hrp2.Deleted.Strains,PCR.Prevalence
275,0.077256634,25,2.916666667,0.082564587,8,2.916666667,0.08779831,0.019562496,0.870986333
276,0.077547407,25,3,0.082470214,8,3,0.642469137,0.415023611,0.150634
277,0.077265279,25,3.083333333,0.081804141,8,3.083333333,0.740415442,0.483164912,0.156815333
278,0.077405657,25,3.166666667,0.080969195,8,3.166666667,0.706883048,0.45687119,0.169956
279,0.077728726,25,3.25,0.080766686,8,3.25,0.627595788,0.400959205,0.170766333
280,0.077553501,25,3.333333333,0.080420297,8,3.333333333,0.557832796,0.353269873,0.180093667
281,0.077724036,25,3.416666667,0.081076757,8,3.416666667,0.572131552,0.366072418,0.192437333
282,0.077411205,25,3.5,0.080835575,8,3.5,0.397717213,0.253417506,0.192513667
283,0.077046397,25,3.583333333,0.081086275,8,3.583333333,0.450053617,0.286161585,0.203975667
284,0.076592212,25,3.666666667,0.081091023,8,3.666666667,0.420520216,0.268277659,0.221326667
285,0.076537092,25,3.75,0.080866688,8,3.75,0.43427492,0.275806524,0.229906333
286,0.076268977,25,3.833333333,0.081031499,8,3.833333333,0.426797123,0.271234013,0.248449667
287,0.07576124,25,3.916666667,0.081193633,8,3.916666667,0.441013358,0.279239638,0.257789333
288,0.075650318,25,4,0.080662775,8,4,0.391872262,0.247850938,0.263836
289,0.075383049,25,4.083333333,0.080741285,8,4.083333333,0.374678007,0.234416669,0.284984
290,0.075340079,25,4.166666667,0.080364429,8,4.166666667,0.333117987,0.207769423,0.302279
291,0.074979454,25,4.25,0.080122095,8,4.25,0.346892035,0.217128585,0.321112333
292,0.075310373,25,4.333333333,0.079619317,8,4.333333333,0.303102235,0.185206047,0.329625667
