"","hrp2.Deletion.Allele.Frequency","Proportion.of.Monoinfections.Due.to.hrp2.Deleted.Strains","PCR.Prevalence"
"159",0.0949116837015221,0.0265107357860074,0.822358666666667
"160",0.0935514801199978,0.0261108632303579,0.831493
"161",0.0935301396172188,0.0242171803560523,0.843808666666667
"162",0.0893081715390112,0.0221845969550937,0.851476666666667
"163",0.0897689224257585,0.0213363560323115,0.858394
"164",0.0905904543476199,0.0206392524844719,0.867085666666667
"165",0.0906560644493153,0.0204849819476097,0.872183666666667
"166",0.611309392742759,0.396224867185213,0.150334666666667
"167",0.630591651003663,0.398390564361313,0.144812666666667
"168",0.551430730228138,0.349241987893541,0.153361666666667
"169",0.630606608753336,0.407558853551947,0.167194666666667
"170",0.562437252782302,0.363518117861769,0.181184
"171",0.555606855159232,0.357930502357993,0.192678
"172",0.429874974541,0.268891033771447,0.191325333333333
"173",0.584207994722188,0.376226670948863,0.214843
"174",0.459369701514059,0.290614640278747,0.220606
"175",0.45304960714387,0.290740743412784,0.231015666666667
"176",0.416030610811905,0.262566441345316,0.246019
"177",0.400369190558422,0.247980697649686,0.250746666666667
"178",0.375173163893662,0.235169819299476,0.258549333333333
"179",0.37458464249944,0.238042440517902,0.283502666666667
"180",0.365139853077915,0.226322126637621,0.306186
"181",0.33300374962959,0.206713744115319,0.32004
"182",0.343479465610504,0.212367416465767,0.327969333333333
"183",0.295250838120505,0.17885077790133,0.35073
"184",0.270607651846694,0.164737233617947,0.361620333333333
"185",0.256967754932524,0.154286779654998,0.375456666666667
"186",0.241347433707847,0.145171660884358,0.398149333333333
"187",0.224240063315725,0.132456728593797,0.409585333333333
"188",0.220412525663625,0.127011320161131,0.428056333333333
"189",0.216816099060567,0.123633107468914,0.454894333333333
"190",0.222483978601864,0.127034500743511,0.467825666666667
"191",0.175822560375116,0.0972286881765645,0.488312666666667
"192",0.182445109888088,0.0995168948161764,0.504859
"193",0.199485234234308,0.109462678750487,0.52191
"194",0.18375931591161,0.0973057380677314,0.540704666666667
"195",0.159529973260027,0.0846368500092181,0.558681
"196",0.14989719995825,0.0754670036432028,0.577422333333333
"197",0.135701787532198,0.0670212699901838,0.590519
"198",0.1411410751661,0.0683018907255324,0.607650333333333
"199",0.142457013475518,0.0678359933434388,0.624747
"200",0.133537570524373,0.062660857789977,0.639022
"201",0.131419291572555,0.0594230957488196,0.657174333333333
"202",0.116793377373413,0.0496749033762004,0.670211
"203",0.115490814615099,0.0494759746909892,0.681233
"204",0.115763254687586,0.0483815120771667,0.704690666666667
"205",0.116747226970017,0.0485507419689012,0.710789
"206",0.103661924062446,0.0386355152849368,0.733151
"207",0.110572323401311,0.0413263450059958,0.74219
"208",0.102276139724663,0.03741282650967,0.754099666666667
"209",0.105748906348805,0.0368310527969776,0.767948
"210",0.100198353365755,0.0342654721696911,0.778198333333333
"211",0.0963123662530966,0.0310524825535678,0.792282333333333
"212",0.0929437692409364,0.0277097138518247,0.802486333333333
"213",0.0951514737344504,0.0284616286652993,0.810131666666667
"214",0.0982249643951151,0.0275367224538524,0.822271666666667
"215",0.0974929432442025,0.0270413064361191,0.8328
"216",0.0899807222894329,0.0233916528787668,0.840713
"217",0.0895430379789592,0.023115659792841,0.850779666666667
"218",0.0874295876440069,0.0208131227477556,0.859698
"219",0.0883266310305162,0.0203359362481214,0.867446333333333
"220",0.0857971012159857,0.0191967871179194,0.872819666666667
"221",0.661473443869132,0.428335762243202,0.155991333333333
"222",0.699955177217961,0.452109136800724,0.149231666666667
"223",0.603815542879088,0.387626515392574,0.158182333333333
"224",0.549294200238728,0.349307217205542,0.166334
"225",0.495434372693149,0.312303022775613,0.171762666666667
"226",0.609303444447984,0.392122719875661,0.196023666666667
"227",0.552059765925119,0.355608080499367,0.200680666666667
"228",0.492643389519082,0.316414844040089,0.203781
"229",0.436447770807973,0.279067892395831,0.223250333333333
"230",0.496427845528636,0.315643653628862,0.233645333333333
"231",0.375242966138108,0.236196411080523,0.244344666666667
"232",0.461503820303693,0.294961765123087,0.25849
"233",0.446250981686656,0.285310966886279,0.271438333333333
"234",0.349691511546028,0.219054574612501,0.284344666666667
"235",0.322725380297607,0.199697508719095,0.300394333333333
"236",0.326489785121115,0.203793550086716,0.318857
"237",0.296277477402691,0.182461343891018,0.325239666666667
"238",0.310911576515285,0.190897693559192,0.3483
"239",0.261459647016408,0.160434341078717,0.358765666666667
"240",0.228144267788938,0.138182686905241,0.376728333333333
"241",0.213826992733694,0.127428614993051,0.397877666666667
"242",0.221295953824557,0.132404169825008,0.40897
"243",0.240141868578995,0.142064658025832,0.429511
"244",0.212594239531975,0.123779698354218,0.453644666666667
"245",0.214952949764909,0.122897545060506,0.467112666666667
"246",0.208408610181966,0.116106368021326,0.492178
"247",0.201539209622911,0.112682725019142,0.501961
"248",0.178538710161532,0.0963635539015125,0.521819
"249",0.158392155901189,0.0836172920347422,0.539593333333333
"250",0.154278667402131,0.0801855102486477,0.558675333333333
"251",0.146518462715282,0.0738074571502328,0.577191
"252",0.146735301148317,0.0739908656734944,0.590811666666667
"253",0.150627325416561,0.0733773295001783,0.605709333333333
"254",0.13434552352371,0.0642867100632361,0.624063666666667
"255",0.131887545620524,0.0620846211077604,0.639777333333333
"256",0.136686467872452,0.0610620832682803,0.655447666666667
"257",0.125473903168701,0.0564853868502532,0.670492
"258",0.113902558013059,0.0481852835155558,0.682255333333333
"259",0.113554664120529,0.0454181862745564,0.701752666666667
"260",0.12042044905448,0.0493972815705024,0.711415666666667
"261",0.108764900348174,0.0412196550673277,0.730654666666667
"262",0.10904050760724,0.0413952372517674,0.743338333333333
"263",0.0948609788035426,0.033986697180888,0.752873
"264",0.104879908873229,0.0373752085718429,0.770118333333333
"265",0.102388276193568,0.0350630517914274,0.779015666666667
"266",0.101824616563005,0.0331806440908926,0.791586
"267",0.0994067313165483,0.0306785215798244,0.800755666666667
"268",0.0943059212551201,0.0284884796035356,0.81117
"269",0.0961658649223756,0.0282490858091737,0.820215333333333
"270",0.09201614630113,0.0251349499942481,0.831604333333333
"271",0.0888033231070254,0.0235711577158452,0.843007666666667
"272",0.0882886134091495,0.0219315825927893,0.849900666666667
"273",0.0906630312224047,0.0215681940679905,0.85963
"274",0.0823729361739436,0.0182974979565014,0.865346
"275",0.0877983099518588,0.0195624960054865,0.870986333333333
"276",0.642469137154331,0.415023611313957,0.150634
"277",0.740415442198418,0.483164911594529,0.156815333333333
"278",0.70688304763165,0.456871190190402,0.169956
"279",0.627595787629835,0.400959205463997,0.170766333333333
"280",0.557832796000818,0.353269872529295,0.180093666666667
"281",0.572131551890248,0.366072418380356,0.192437333333333
"282",0.397717213224803,0.253417506289597,0.192513666666667
"283",0.450053616598934,0.286161584633461,0.203975666666667
"284",0.420520215616899,0.268277658965631,0.221326666666667
"285",0.434274920124598,0.275806524106194,0.229906333333333
"286",0.426797123111561,0.271234012522993,0.248449666666667
"287",0.441013357810727,0.27923963753349,0.257789333333333
"288",0.391872262063924,0.247850937703725,0.263836
"289",0.374678006854167,0.234416669005979,0.284984
"290",0.333117986618684,0.207769422729774,0.302279
"291",0.346892035327177,0.217128585323724,0.321112333333333
"292",0.30310223538279,0.185206046859215,0.329625666666667
"293",0.270572973127116,0.16574064247052,0.348623
"294",0.299900888369805,0.185046950713158,0.365276666666667
"295",0.268041217700472,0.161472271756886,0.383009
"296",0.259303041828676,0.156330284100476,0.399882
"297",0.243977850325782,0.144177258896744,0.411255333333333
"298",0.22506538876464,0.130723784821483,0.430266
"299",0.216695449204924,0.125833528481939,0.455493333333333
"300",0.19289631935109,0.109932079816903,0.467804
"301",0.20265807086122,0.115191370788475,0.489747333333333
"302",0.199457648768725,0.109951746580533,0.503660333333333
"303",0.169193886569354,0.0916226745660343,0.520548
"304",0.175681794682365,0.0918070821004436,0.541073
"305",0.157251921976467,0.0806571827277609,0.556801
"306",0.153682915878959,0.0775484004054231,0.578490333333333
"307",0.148721796971706,0.074722597376958,0.594322666666667
"308",0.138467998140157,0.0670376552287717,0.604511
"309",0.132618601984905,0.0633831912515054,0.625265666666667
"310",0.132655868083968,0.062094742072062,0.636683
"311",0.129726197637891,0.0577056488067909,0.659230666666667
"312",0.130234954459853,0.0576414029977391,0.673329666666667
"313",0.121162451206843,0.0521747943809061,0.684072333333333
"314",0.112229449442012,0.0451156292650333,0.702417333333333
"315",0.12053100166712,0.0481216223220819,0.713816333333333
"316",0.11102498751312,0.0429609264923193,0.727475
"317",0.111651321504367,0.042642177373226,0.740096666666667
"318",0.10240975395354,0.0365515722513904,0.753738666666667
"319",0.0914140432501834,0.0314551411680251,0.771267666666667
"320",0.099066405272196,0.0339534587108805,0.778821
"321",0.0997956228796413,0.0323114513928755,0.793155333333333
"322",0.101650744655145,0.0316518594968266,0.801301
"323",0.0975425799720175,0.0292578541819511,0.807828666666667
"324",0.0892840093626484,0.0261405938072142,0.821838
