FigA,hrp2 deletion frequency after 20 years,PfPR,ft,PfPR_grouped,FigB,hrp2 deletion frequency after 20 years,PfPR,ft,PfPR_grouped
,10.13196817,0.885409048,0.3,0.8 - 1.0,,9.552457535,0.885409048,0.3,0.8 - 1.0
,100,0.105223878,0.4,0.0 - 0.15,,99.9520784,0.105223878,0.4,0.0 - 0.15
,99.99503768,0.117610544,0.4,0.0 - 0.15,,99.90182312,0.117610544,0.4,0.0 - 0.15
,99.98706375,0.127335714,0.4,0.0 - 0.15,,99.96329887,0.127335714,0.4,0.0 - 0.15
,99.99344018,0.138823605,0.4,0.0 - 0.15,,99.90651054,0.138823605,0.4,0.0 - 0.15
,99.99868329,0.15312034,0.4,0.15 - 0.2,,99.83906797,0.15312034,0.4,0.15 - 0.2
,99.99190949,0.161006531,0.4,0.15 - 0.2,,99.88437148,0.161006531,0.4,0.15 - 0.2
,99.97993456,0.173282245,0.4,0.15 - 0.2,,99.82945248,0.173282245,0.4,0.15 - 0.2
,99.9884444,0.192176531,0.4,0.15 - 0.2,,99.78524518,0.192176531,0.4,0.15 - 0.2
,99.96243029,0.197445238,0.4,0.15 - 0.2,,99.59915878,0.197445238,0.4,0.15 - 0.2
,99.98331635,0.207332245,0.4,0.2 - 0.25,,99.61901154,0.207332245,0.4,0.2 - 0.25
,99.94930216,0.232042109,0.4,0.2 - 0.25,,99.62491839,0.232042109,0.4,0.2 - 0.25
,99.95493625,0.240703401,0.4,0.2 - 0.25,,99.09924206,0.240703401,0.4,0.2 - 0.25
,99.94380936,0.265057347,0.4,0.25 - 0.3,,98.71025592,0.265057347,0.4,0.25 - 0.3
,99.94089657,0.269531224,0.4,0.25 - 0.3,,99.05815489,0.269531224,0.4,0.25 - 0.3
,99.87501577,0.288972517,0.4,0.25 - 0.3,,98.2144627,0.288972517,0.4,0.25 - 0.3
,99.80936711,0.309722313,0.4,0.3 - 0.35,,98.02639987,0.309722313,0.4,0.3 - 0.35
,99.72308102,0.324299864,0.4,0.3 - 0.35,,97.20748044,0.324299864,0.4,0.3 - 0.35
,99.66514903,0.345743265,0.4,0.3 - 0.35,,95.37348985,0.345743265,0.4,0.3 - 0.35
,99.40825735,0.359151973,0.4,0.35 - 0.4,,94.57577349,0.359151973,0.4,0.35 - 0.4
,99.06387599,0.383774694,0.4,0.35 - 0.4,,92.20850765,0.383774694,0.4,0.35 - 0.4
,98.76261548,0.396121088,0.4,0.35 - 0.4,,91.27757798,0.396121088,0.4,0.35 - 0.4
,98.15977764,0.414291429,0.4,0.4 - 0.45,,87.89221578,0.414291429,0.4,0.4 - 0.45
,97.73391818,0.433492721,0.4,0.4 - 0.45,,84.57930406,0.433492721,0.4,0.4 - 0.45
,96.3485725,0.453477415,0.4,0.45 - 0.5,,78.69776609,0.453477415,0.4,0.45 - 0.5
,95.01962707,0.471538435,0.4,0.45 - 0.5,,76.20678842,0.471538435,0.4,0.45 - 0.5
,93.11702422,0.493678435,0.4,0.45 - 0.5,,68.53980098,0.493678435,0.4,0.45 - 0.5
,91.83489415,0.506555646,0.4,0.5 - 0.55,,67.92700328,0.506555646,0.4,0.5 - 0.55
,87.27438999,0.526505238,0.4,0.5 - 0.55,,61.12326628,0.526505238,0.4,0.5 - 0.55
,81.19367475,0.54888585,0.4,0.5 - 0.55,,55.71000674,0.54888585,0.4,0.5 - 0.55
,76.70221902,0.565700884,0.4,0.55 - 0.6,,51.1024164,0.565700884,0.4,0.55 - 0.6
,72.00550776,0.579185646,0.4,0.55 - 0.6,,49.10159211,0.579185646,0.4,0.55 - 0.6
,66.17146139,0.594416531,0.4,0.55 - 0.6,,44.96164952,0.594416531,0.4,0.55 - 0.6
,61.77609452,0.61571585,0.4,0.6 - 0.65,,38.27409781,0.61571585,0.4,0.6 - 0.65
,54.6534397,0.633161224,0.4,0.6 - 0.65,,36.74874107,0.633161224,0.4,0.6 - 0.65
,48.29851528,0.649836259,0.4,0.6 - 0.65,,33.70679683,0.649836259,0.4,0.6 - 0.65
,41.56377873,0.666191905,0.4,0.65 - 0.7,,28.85310274,0.666191905,0.4,0.65 - 0.7
,39.50860225,0.678238231,0.4,0.65 - 0.7,,28.44651398,0.678238231,0.4,0.65 - 0.7
,34.82316995,0.695221633,0.4,0.65 - 0.7,,26.07721664,0.695221633,0.4,0.65 - 0.7
,33.33447225,0.708864354,0.4,0.7 - 0.75,,24.0012463,0.708864354,0.4,0.7 - 0.75
,29.9550316,0.724037483,0.4,0.7 - 0.75,,21.82423259,0.724037483,0.4,0.7 - 0.75
,28.19974829,0.734787687,0.4,0.7 - 0.75,,21.79628894,0.734787687,0.4,0.7 - 0.75
,25.57370916,0.746673401,0.4,0.7 - 0.75,,17.91177413,0.746673401,0.4,0.7 - 0.75
,22.28326273,0.762752789,0.4,0.75 - 0.8,,17.82603833,0.762752789,0.4,0.75 - 0.8
,20.71651423,0.77421619,0.4,0.75 - 0.8,,16.38853309,0.77421619,0.4,0.75 - 0.8
,18.92515688,0.790143605,0.4,0.75 - 0.8,,15.45963461,0.790143605,0.4,0.75 - 0.8
,18.16411797,0.797535238,0.4,0.75 - 0.8,,13.92343751,0.797535238,0.4,0.75 - 0.8
,16.83066325,0.807869116,0.4,0.8 - 1.0,,13.89744991,0.807869116,0.4,0.8 - 1.0
,14.87763066,0.819423401,0.4,0.8 - 1.0,,12.58162462,0.819423401,0.4,0.8 - 1.0
,14.54290545,0.82828966,0.4,0.8 - 1.0,,12.79984573,0.82828966,0.4,0.8 - 1.0
,13.64114726,0.839663946,0.4,0.8 - 1.0,,12.21092188,0.839663946,0.4,0.8 - 1.0
,13.24952878,0.845736939,0.4,0.8 - 1.0,,11.57520008,0.845736939,0.4,0.8 - 1.0
,12.77616918,0.853865714,0.4,0.8 - 1.0,,11.76006759,0.853865714,0.4,0.8 - 1.0
,11.88860952,0.86327517,0.4,0.8 - 1.0,,11.04347633,0.86327517,0.4,0.8 - 1.0
,11.24988886,0.870447143,0.4,0.8 - 1.0,,10.46771314,0.870447143,0.4,0.8 - 1.0
,100,0.086347891,0.5,0.0 - 0.15,,99.97895498,0.086347891,0.5,0.0 - 0.15
,100,0.096728367,0.5,0.0 - 0.15,,99.99875899,0.096728367,0.5,0.0 - 0.15
,100,0.109269048,0.5,0.0 - 0.15,,100,0.109269048,0.5,0.0 - 0.15
,100,0.117255374,0.5,0.0 - 0.15,,100,0.117255374,0.5,0.0 - 0.15
,100,0.135313401,0.5,0.0 - 0.15,,99.98809882,0.135313401,0.5,0.0 - 0.15
,100,0.13663517,0.5,0.0 - 0.15,,99.99908345,0.13663517,0.5,0.0 - 0.15
,100,0.142203401,0.5,0.0 - 0.15,,99.99235578,0.142203401,0.5,0.0 - 0.15
,100,0.167571361,0.5,0.15 - 0.2,,99.99774832,0.167571361,0.5,0.15 - 0.2
,100,0.173885102,0.5,0.15 - 0.2,,99.9877191,0.173885102,0.5,0.15 - 0.2
,99.99932025,0.186988776,0.5,0.15 - 0.2,,99.97931476,0.186988776,0.5,0.15 - 0.2
,99.9934712,0.195863741,0.5,0.15 - 0.2,,99.9768436,0.195863741,0.5,0.15 - 0.2
,100,0.210501837,0.5,0.2 - 0.25,,99.9478833,0.210501837,0.5,0.2 - 0.25
,99.99766364,0.227914286,0.5,0.2 - 0.25,,99.91683272,0.227914286,0.5,0.2 - 0.25
,99.99523807,0.237929728,0.5,0.2 - 0.25,,99.87521861,0.237929728,0.5,0.2 - 0.25
,99.99112924,0.260912041,0.5,0.25 - 0.3,,99.79746531,0.260912041,0.5,0.25 - 0.3
,99.99676867,0.275470068,0.5,0.25 - 0.3,,99.77822437,0.275470068,0.5,0.25 - 0.3
,99.99301112,0.297782993,0.5,0.25 - 0.3,,99.71469299,0.297782993,0.5,0.25 - 0.3
,99.96603891,0.316153129,0.5,0.3 - 0.35,,99.54308419,0.316153129,0.5,0.3 - 0.35
,99.96523718,0.331236463,0.5,0.3 - 0.35,,99.45017949,0.331236463,0.5,0.3 - 0.35
,99.93964367,0.35073619,0.5,0.35 - 0.4,,99.11762537,0.35073619,0.5,0.35 - 0.4
,99.94064628,0.363798095,0.5,0.35 - 0.4,,98.74808258,0.363798095,0.5,0.35 - 0.4
,99.89957845,0.381900612,0.5,0.35 - 0.4,,98.57625941,0.381900612,0.5,0.35 - 0.4
,99.84138985,0.405341633,0.5,0.4 - 0.45,,97.60717158,0.405341633,0.5,0.4 - 0.45
,99.78996788,0.421591769,0.5,0.4 - 0.45,,96.83563792,0.421591769,0.5,0.4 - 0.45
,99.51989603,0.447000816,0.5,0.4 - 0.45,,94.50305454,0.447000816,0.5,0.4 - 0.45
,99.26777408,0.463375782,0.5,0.45 - 0.5,,92.51568999,0.463375782,0.5,0.45 - 0.5
,99.18868227,0.47405483,0.5,0.45 - 0.5,,91.22764038,0.47405483,0.5,0.45 - 0.5
,98.22108747,0.498430544,0.5,0.45 - 0.5,,86.90065129,0.498430544,0.5,0.45 - 0.5
,97.38697911,0.519526599,0.5,0.5 - 0.55,,81.01350714,0.519526599,0.5,0.5 - 0.55
,94.90293715,0.543234694,0.5,0.5 - 0.55,,75.55253333,0.543234694,0.5,0.5 - 0.55
,94.74352225,0.54998,0.5,0.5 - 0.55,,74.07551952,0.54998,0.5,0.5 - 0.55
,90.43531566,0.569007211,0.5,0.55 - 0.6,,69.07774351,0.569007211,0.5,0.55 - 0.6
,85.1567259,0.594035782,0.5,0.55 - 0.6,,58.01385031,0.594035782,0.5,0.55 - 0.6
,83.22914733,0.606362789,0.5,0.6 - 0.65,,55.83652297,0.606362789,0.5,0.6 - 0.65
,75.15968034,0.622746531,0.5,0.6 - 0.65,,50.9148789,0.622746531,0.5,0.6 - 0.65
,67.28520849,0.644447891,0.5,0.6 - 0.65,,44.06284727,0.644447891,0.5,0.6 - 0.65
,63.83920953,0.651270408,0.5,0.65 - 0.7,,43.62027085,0.651270408,0.5,0.65 - 0.7
,56.14887705,0.672014354,0.5,0.65 - 0.7,,36.94111776,0.672014354,0.5,0.65 - 0.7
,49.47994225,0.686563333,0.5,0.65 - 0.7,,33.25920089,0.686563333,0.5,0.65 - 0.7
,44.17054441,0.702761973,0.5,0.7 - 0.75,,30.46726908,0.702761973,0.5,0.7 - 0.75
,40.5977271,0.717467347,0.5,0.7 - 0.75,,26.06743305,0.717467347,0.5,0.7 - 0.75
,36.41082852,0.730303946,0.5,0.7 - 0.75,,23.87781258,0.730303946,0.5,0.7 - 0.75
,31.13155826,0.74660619,0.5,0.7 - 0.75,,21.57262131,0.74660619,0.5,0.7 - 0.75
,28.98279214,0.754407687,0.5,0.75 - 0.8,,21.36991391,0.754407687,0.5,0.75 - 0.8
,26.04881414,0.768558503,0.5,0.75 - 0.8,,19.18724395,0.768558503,0.5,0.75 - 0.8
,22.41468966,0.779523469,0.5,0.75 - 0.8,,17.64211983,0.779523469,0.5,0.75 - 0.8
,21.94753562,0.787462585,0.5,0.75 - 0.8,,17.09288528,0.787462585,0.5,0.75 - 0.8
,19.52650815,0.802596531,0.5,0.8 - 1.0,,15.78589223,0.802596531,0.5,0.8 - 1.0
,17.95213862,0.812511361,0.5,0.8 - 1.0,,14.76640674,0.812511361,0.5,0.8 - 1.0
,16.33114338,0.822239456,0.5,0.8 - 1.0,,14.05869795,0.822239456,0.5,0.8 - 1.0
,15.58080792,0.832708367,0.5,0.8 - 1.0,,12.97204107,0.832708367,0.5,0.8 - 1.0
,15.66801636,0.838830952,0.5,0.8 - 1.0,,13.15520458,0.838830952,0.5,0.8 - 1.0
,13.7081241,0.848878639,0.5,0.8 - 1.0,,11.89042964,0.848878639,0.5,0.8 - 1.0
,13.39948705,0.85509483,0.5,0.8 - 1.0,,11.67915129,0.85509483,0.5,0.8 - 1.0
,100,0.061053197,0.6,0.0 - 0.15,,100,0.061053197,0.6,0.0 - 0.15
,100,0.062460136,0.6,0.0 - 0.15,,100,0.062460136,0.6,0.0 - 0.15
,100,0.07270415,0.6,0.0 - 0.15,,100,0.07270415,0.6,0.0 - 0.15
,100,0.085857347,0.6,0.0 - 0.15,,100,0.085857347,0.6,0.0 - 0.15
,100,0.087362925,0.6,0.0 - 0.15,,100,0.087362925,0.6,0.0 - 0.15
,100,0.105988095,0.6,0.0 - 0.15,,99.99899613,0.105988095,0.6,0.0 - 0.15
,100,0.12458415,0.6,0.0 - 0.15,,100,0.12458415,0.6,0.0 - 0.15
,100,0.129839116,0.6,0.0 - 0.15,,100,0.129839116,0.6,0.0 - 0.15
,100,0.151090204,0.6,0.15 - 0.2,,100,0.151090204,0.6,0.15 - 0.2
,100,0.164604966,0.6,0.15 - 0.2,,99.99320793,0.164604966,0.6,0.15 - 0.2
,100,0.180057347,0.6,0.15 - 0.2,,100,0.180057347,0.6,0.15 - 0.2
,100,0.181858231,0.6,0.15 - 0.2,,99.99929914,0.181858231,0.6,0.15 - 0.2
,100,0.199736939,0.6,0.15 - 0.2,,99.99739356,0.199736939,0.6,0.15 - 0.2
,100,0.211469728,0.6,0.2 - 0.25,,99.99846681,0.211469728,0.6,0.2 - 0.25
,100,0.237264014,0.6,0.2 - 0.25,,99.98576648,0.237264014,0.6,0.2 - 0.25
,100,0.253668299,0.6,0.25 - 0.3,,99.99955961,0.253668299,0.6,0.25 - 0.3
,100,0.268616327,0.6,0.25 - 0.3,,99.97750419,0.268616327,0.6,0.25 - 0.3
,99.99952762,0.285717959,0.6,0.25 - 0.3,,99.97321082,0.285717959,0.6,0.25 - 0.3
,99.9997136,0.298393129,0.6,0.25 - 0.3,,99.95232798,0.298393129,0.6,0.25 - 0.3
,99.99791308,0.326683129,0.6,0.3 - 0.35,,99.90598966,0.326683129,0.6,0.3 - 0.35
,99.99683112,0.339842993,0.6,0.3 - 0.35,,99.89193026,0.339842993,0.6,0.3 - 0.35
,99.99611888,0.354698503,0.6,0.35 - 0.4,,99.8121731,0.354698503,0.6,0.35 - 0.4
,99.98339525,0.374051156,0.6,0.35 - 0.4,,99.69993537,0.374051156,0.6,0.35 - 0.4
,99.98484246,0.396515442,0.6,0.35 - 0.4,,99.51604938,0.396515442,0.6,0.35 - 0.4
,99.95972397,0.418957007,0.6,0.4 - 0.45,,99.13029486,0.418957007,0.6,0.4 - 0.45
,99.93294877,0.43311932,0.6,0.4 - 0.45,,98.75542203,0.43311932,0.6,0.4 - 0.45
,99.90941151,0.451480952,0.6,0.45 - 0.5,,98.27324624,0.451480952,0.6,0.45 - 0.5
,99.7944654,0.476840068,0.6,0.45 - 0.5,,96.49453118,0.476840068,0.6,0.45 - 0.5
