"","hrp2.Deletion.Allele.Frequency","Prevalence","years"
"205",0.173474142857143,"10%",17.0833333333333
"206",0.174448714285714,"10%",17.1666666666667
"207",0.175222571428571,"10%",17.25
"208",0.175754571428571,"10%",17.3333333333333
"209",0.176143857142857,"10%",17.4166666666667
"210",0.176500571428571,"10%",17.5
"211",0.177001428571429,"10%",17.5833333333333
"212",0.177485428571429,"10%",17.6666666666667
"213",0.178278285714286,"10%",17.75
"214",0.178847428571429,"10%",17.8333333333333
"215",0.179584857142857,"10%",17.9166666666667
"216",0.180139,"10%",18
"217",0.180291857142857,"10%",18.0833333333333
"218",0.180632857142857,"10%",18.1666666666667
"219",0.180812571428571,"10%",18.25
"220",0.180765857142857,"10%",18.3333333333333
"221",0.180744428571429,"10%",18.4166666666667
"222",0.180637285714286,"10%",18.5
"223",0.180572857142857,"10%",18.5833333333333
"224",0.180947571428571,"10%",18.6666666666667
"225",0.180967571428571,"10%",18.75
"226",0.180851571428571,"10%",18.8333333333333
"227",0.181028285714286,"10%",18.9166666666667
"228",0.181173142857143,"10%",19
"229",0.180951285714286,"10%",19.0833333333333
"230",0.180967142857143,"10%",19.1666666666667
"231",0.181002142857143,"10%",19.25
"232",0.181302285714286,"10%",19.3333333333333
"233",0.181294,"10%",19.4166666666667
"234",0.181498857142857,"10%",19.5
"235",0.181023857142857,"10%",19.5833333333333
"236",0.180698285714286,"10%",19.6666666666667
"237",0.180711285714286,"10%",19.75
"238",0.180676,"10%",19.8333333333333
"239",0.180726714285714,"10%",19.9166666666667
"240",0.180810714285714,"10%",20
"241",0.208694881877853,"20%",0.0833333333333333
"242",0.209521833266591,"20%",0.166666666666667
"243",0.207482707398522,"20%",0.25
"244",0.208235192130634,"20%",0.333333333333333
"245",0.208679277560052,"20%",0.416666666666667
"246",0.208355855632114,"20%",0.5
"247",0.20817787930653,"20%",0.583333333333333
"248",0.208337748029973,"20%",0.666666666666667
"249",0.207725425793084,"20%",0.75
"250",0.207824627391211,"20%",0.833333333333333
"251",0.208022497612233,"20%",0.916666666666667
"252",0.208811450459704,"20%",1
"253",0.207857949984261,"20%",1.08333333333333
"254",0.207547250816585,"20%",1.16666666666667
"255",0.208881602007688,"20%",1.25
"256",0.20814142344248,"20%",1.33333333333333
"257",0.208852865842618,"20%",1.41666666666667
"258",0.20832396797156,"20%",1.5
"259",0.207912208286759,"20%",1.58333333333333
"260",0.20770696408784,"20%",1.66666666666667
"261",0.208869030529709,"20%",1.75
"262",0.208316541248714,"20%",1.83333333333333
"263",0.208753429611294,"20%",1.91666666666667
"264",0.208746475612046,"20%",2
"265",0.208239127319799,"20%",2.08333333333333
"266",0.208114694589996,"20%",2.16666666666667
"267",0.208870003985738,"20%",2.25
"268",0.20885979454199,"20%",2.33333333333333
"269",0.209080931652041,"20%",2.41666666666667
"270",0.207598291236877,"20%",2.5
"271",0.207291753115359,"20%",2.58333333333333
"272",0.209078352935046,"20%",2.66666666666667
"273",0.208453534122628,"20%",2.75
"274",0.207572538454459,"20%",2.83333333333333
"275",0.207669699289107,"20%",2.91666666666667
"276",0.208346484579957,"20%",3
"277",0.208971045154292,"20%",3.08333333333333
"278",0.20824107811545,"20%",3.16666666666667
"279",0.208607209047823,"20%",3.25
"280",0.207920491936837,"20%",3.33333333333333
"281",0.20857926586969,"20%",3.41666666666667
"282",0.208061063189087,"20%",3.5
"283",0.207468441659013,"20%",3.58333333333333
"284",0.208330081638922,"20%",3.66666666666667
"285",0.20679596657839,"20%",3.75
"286",0.209251800604407,"20%",3.83333333333333
